Sample_number,Waterbody_name,Beach_name,Beach_access_num,Latitude,Longitude,Collection_date,Collection_time,MC-LR_conc,Total_cyano_cell_count,Microcystis_mcyE,Anabaena_mcyE,Planktothrix_mcyE,Sample_type,Water_description_additional,Turbidity,Color,Water_temp,Wind_direction,Rainfall_24h_bool,Rainfall_24h_mm,EOB,Year,Month,Day
M141252,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-08-13,12:20:00,6.47,15279.0,29500.0,0.0,0.0,Composite,,,,,,,,scums on surface,2014,8,13
M141245,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-08-20,11:45:00,9.8,272830.0,1195000.0,0.0,0.0,Composite,,,,,,,,scums on surface,2014,8,20
M141249,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-08-27,11:45:00,8.29,204991.0,21675.0,0.0,0.0,Composite,,,,,,,,scums on surface,2014,8,27
M141577,Cold Lake,Moon Bay,,54.638056,-110.148389,2014-07-25,10:35:00,0.07,0.0,,,,Grab,Sample collected to investigate unknown orange substance,,,,,,,not apparent,2014,7,25
M141600,Crane (Moore) Lake,Crane Lake West M.D. Park,9011475.0,54.501141,-110.563529,2014-08-25,12:35:00,0.07,0.0,0.0,0.0,0.0,Grab,,,,,,,,streaks on the surface,2014,8,25
M141380,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-06-04,10:45:00,0.267,18589.0,1470.0,0.0,0.0,Composite,Grey sandy/silty water,,,,,,,,2014,6,4
M141384,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-06-11,10:40:00,0.347,8913.0,130.5,0.0,0.0,Composite,Milky white water,,,,,,,,2014,6,11
M141378,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-06-18,11:30:00,0.225,18029.0,509.99999999999994,0.0,0.0,Composite,White water (sandy),,,,,,,,2014,6,18
M141374,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-06-25,12:15:00,2.77,443595.0,1225.0,0.0,0.0,Composite,Sandy brown water at 30 cm,,,,,,,,2014,6,25
M141371,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-07-02,11:45:00,0.43,185128.0,260.0,0.0,0.0,Composite,Murky green/beige water,,,,,,,,2014,7,2
M141360,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-07-09,09:05:00,0.33,72957.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,9
M141364,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-07-16,09:00:00,0.25,8352.0,262.5,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,16
M141397,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-07-23,11:10:00,1.07,36567.0,722.5,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,23
M141394,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-07-30,10:30:00,3.12,269926.0,987.5,0.0,0.0,Composite,Blue-green algae present,,,,,,,,2014,7,30
M141359,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-08-06,09:30:00,12.47,66514.0,140000.0,0.0,0.0,Composite,Brown water,,,,,,,,2014,8,6
M141343,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-08-13,10:00:00,3.87,35142.0,3100.0,0.0,0.0,Composite,,,,,,,,streaks on the surface,2014,8,13
M141356,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-08-20,10:30:00,29.2,213624.0,435000.0,0.0,0.0,Composite,,,,,,,,streaks on the surface,2014,8,20
M141350,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566.0,50.986014,-113.291621,2014-08-27,11:00:00,3.8,141915.0,5600.0,0.0,0.0,Composite,,,,,,,,streaks on the surface,2014,8,27
M141013,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-05-26,12:30:00,<0.05,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,5,26
M141053,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-06-02,09:45:00,0.052,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,2
M141065,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-06-09,09:45:00,0.054,2852.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,9
M141063,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-06-16,09:50:00,0.07,10135.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,16
M141061,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-06-26,10:15:00,0.07,0.0,0.0,0.0,0.0,Composite,,,,,,,,,2014,6,26
M141060,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-07-02,10:00:00,0.06,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,2
M141057,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-07-09,10:20:00,0.07,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,9
M141055,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-07-14,10:20:00,0.07,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,14
M141051,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-07-21,11:45:00,0.08,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,21
M141049,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-07-28,10:45:00,0.07,0.0,0.0,0.0,0.0,Composite,Clear but lots of suspended particles,,,,,,,not apparent,2014,7,28
M141047,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-08-05,10:45:00,0.09,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,5
M141044,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-08-11,10:00:00,0.09,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,11
M141011,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-08-18,10:00:00,0.08,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,18
M141009,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609.0,50.161765,-112.432874,2014-08-25,10:00:00,0.07,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,25
M141028,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-06-02,11:20:00,<0.05,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,2
M141030,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-06-09,11:50:00,<0.05,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,9
M141014,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-06-16,12:20:00,0.05,8352.0,0.0,0.0,0.0,Composite,,,,,,,,,2014,6,16
M141033,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-06-23,11:45:00,0.06,0.0,0.0,0.0,0.0,Composite,,,,,,,,,2014,6,23
M141024,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-07-03,12:01:00,0.07,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,3
M141026,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-07-07,11:10:00,0.06,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,7
M141037,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-07-14,12:10:00,<0.05,0.0,0.0,0.0,0.0,Composite,No green particles in the water,,,,,,,not apparent,2014,7,14
M141017,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-07-21,12:22:00,0.05,0.0,0.0,0.0,0.0,Composite,The water is very clear and the bottom very visible,,,,,,,not apparent,2014,7,21
M141022,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-07-28,12:10:00,0.05,0.0,0.0,0.0,0.0,Composite,The water was clear and the bottom was very visible,,,,,,,not apparent,2014,7,28
M141021,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-08-05,,0.05,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,5
M141019,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-08-11,11:52:00,<0.05,0.0,0.0,0.0,0.0,Composite,The bottom of the lake was very visible and the water clear,,,,,,,not apparent,2014,8,11
M141069,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-08-18,11:55:00,0.06,7639.0,0.0,0.0,0.0,Composite,The water was very clear and the bottom of the lake was visible,,,,,,,not apparent,2014,8,18
M141068,Forty Mile Reservoir,Forty Mile Park Beach,8822599.0,49.672401,-111.42529,2014-08-25,13:45:00,0.05,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,25
M141108,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-06-10,11:48:00,0.112,254900.0,223.25,0.0,0.0,Composite,Slightly murky due to windy conditions,,,,,,,not apparent,2014,6,10
M141112,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-06-17,11:45:00,0.169,158135.0,350.0,0.0,0.0,Composite,"Cannot see bottom, windy conditions, soupy lake with mixture of sand & vegetation, dark brown water",,,,,,,,2014,6,17
M141116,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-06-24,11:35:00,0.14,154928.0,397.5,0.0,0.0,Composite,"Calm waters, water is bluish-grey, Natural vegetation along shoreline",,,,,,,not apparent,2014,6,24
M141120,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-07-02,11:55:00,0.19,399897.0,0.0,0.0,0.0,Composite,"Windy but slightly murky water, greyish-brown but clear",,,,,,,not apparent,2014,7,2
M141124,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-07-08,10:40:00,0.16,562108.0,0.0,0.0,0.0,Composite,Clear water,,,,,,,not apparent,2014,7,8
M141130,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-07-14,13:15:00,0.2,472370.0,,,,Composite,"Lake bottom not visible >30cm from shore, the water was turbulent and cloudy, brown water",,,,,,,,2014,7,14
M141128,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-07-15,11:40:00,0.21,483831.0,162.75,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,15
M141134,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-07-22,11:47:00,0.17,365932.0,81.25,0.0,0.0,Composite,"Clear, bluish-grey waters, some sediment in sample",,,,,,,not apparent,2014,7,22
M141138,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-07-29,12:10:00,0.41,194933.0,,,,Composite,"A lot of use, visibility is <10 cm but water is calm, light brown coloured water, no sign of blue-green algae",,,,,,,,2014,7,29
M141142,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-08-05,12:30:00,0.18,44843.0,0.0,0.0,0.0,Composite,"Light brown water, slightly cloudy",,,,,,,not apparent,2014,8,5
M141554,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-08-12,11:07:00,0.21,150395.0,242.0,0.0,0.0,Composite,,,,,,,,streaks on the surface,2014,8,12
M141148,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-08-19,12:09:00,0.22,50012.0,70.25,0.0,0.0,Composite,"Cloudy water, precipitation last 24 hours and throughout the day",,,,,,,not apparent,2014,8,19
M141152,Gull Lake,Aspen Beach Provincial Park Beach,,52.466119,-113.978361,2014-08-26,12:22:00,0.15,4999.0,53.25,0.0,0.0,Composite,Water is cloudy,,,,,,,not apparent,2014,8,26
M141107,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-06-10,10:36:00,0.103,32850.0,0.0,0.0,0.0,Composite,"Clear water, grey and windy",,,,,,,not apparent,2014,6,10
M141111,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-06-17,10:30:00,0.141,83524.0,342.5,0.0,0.0,Composite,"Light brown water, breezy conditions",,,,,,,not apparent,2014,6,17
M141115,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-06-24,10:27:00,0.19,161956.0,0.0,0.0,0.0,Composite,"Murky, cannot see bottom of lake due to windy conditions",,,,,,,,2014,6,24
M141119,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-07-02,10:55:00,0.19,451797.0,0.0,0.0,0.0,Composite,"Can't see the bottom of the lake due to windy conditions, sediments and vegetation",,,,,,,,2014,7,2
M141123,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-07-08,10:35:00,0.16,200355.0,0.0,0.0,0.0,Composite,"Light grey/brown water, some sediments",,,,,,,not apparent,2014,7,8
M141129,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-07-14,12:05:00,0.19,285460.0,,,,Composite,"Turbulent waters, bottom not visible >30cm from the shore, brown water, minor musty ""lake smell""",,,,,,,,2014,7,14
M141127,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-07-15,10:30:00,0.16,190019.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,15
M141133,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-07-22,10:37:00,0.15,149330.0,0.0,0.0,0.0,Composite,"Bottom of lake is somewhat visible <15 cm from shore, brown water, turbulent water and sediments from windy conditions",,,,,,,,2014,7,22
M141137,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-07-29,10:45:00,0.14,110313.0,,,,Composite,clear and calm water,,,,,,,not apparent,2014,7,29
M141141,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-08-05,11:30:00,0.14,217341.0,0.0,0.0,0.0,Composite,"Light brown water, clumps of weed along shore",,,,,,,not apparent,2014,8,5
M141548,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-08-12,12:10:00,0.15,175681.0,0.0,0.0,0.0,Composite,,,,,,,,streaks on the surface,2014,8,12
M141147,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-08-19,11:06:00,0.12,18080.0,0.0,0.0,0.0,Composite,"Water is cloudy but clear along the shore, precipitation within last 24 hours and ongoing all day",,,,,,,not apparent,2014,8,19
M141151,Gull Lake,Parkland Beach,9720022.0,52.604426,-114.056411,2014-08-26,11:17:00,0.14,11349.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,26
M141434,Hasse Lake,Hasse Lake Day Use Area,9601224.0,53.49002,-114.177402,2014-05-26,,,37178.0,,,,,,,,,,,,,2014,5,26
M141431,Hasse Lake,Hasse Lake Day Use Area,9601224.0,53.49002,-114.177402,2014-06-02,13:25:00,0.052,9065.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,2
M141476,Hasse Lake,Hasse Lake Day Use Area,9601224.0,53.49002,-114.177402,2014-07-07,13:05:00,0.05,25210.0,0.0,0.0,0.0,Composite,"Significant number of feathers, parts (wings) of dead birds",,,,,,,not apparent,2014,7,7
M141974,Hasse Lake,Hasse Lake Day Use Area,9601224.0,53.49002,-114.177402,2014-08-13,,,31322.0,,,,,,,,,,,,,2014,8,13
M141530,Hasse Lake,Hasse Lake Day Use Area,9601224.0,53.49002,-114.177402,2014-08-25,13:08:00,0.29,356252.0,452.50000000000006,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,25
M141975,Hastings Lake,GPS for centre of lake provided,,53.417176,-112.908238,2014-07-28,,,151516.0,,,,,,,,,,,,,2014,7,28
M141435,Hubbles Lake,Hubbles Lake Resort,9350169.0,53.56463,-114.093747,2014-05-26,,,0.0,,,,,,,,,,,,,2014,5,26
M141426,Hubbles Lake,Hubbles Lake Resort,9350169.0,53.56463,-114.093747,2014-06-02,09:30:00,0.058,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,2
M141515,Hubbles Lake,Hubbles Lake Resort,9350169.0,53.56463,-114.093747,2014-07-07,08:50:00,0.05,6213.0,0.0,0.0,0.0,Composite,"Water calm, 2-4 ducks present",,,,,,,not apparent,2014,7,7
M141976,Hubbles Lake,Hubbles Lake Resort,9350169.0,53.56463,-114.093747,2014-07-30,,,2750.0,0.0,0.0,0.0,,,,,,,,,,2014,7,30
M141953,Hubbles Lake,Hubbles Lake Resort,9350169.0,53.56463,-114.093747,2014-08-07,09:32:00,0.06,0.0,0.0,0.0,0.0,Composite,,,,,,,,,2014,8,7
M141958,Hubbles Lake,Hubbles Lake Resort,9350169.0,53.56463,-114.093747,2014-08-25,09:40:00,0.06,0.0,0.0,0.0,0.0,Composite,No sightings of birds or other animals,,,,,,,not apparent,2014,8,25
M141760,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-06-02,11:45:00,0.06,0.0,167.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,2
M141756,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-06-09,10:00:00,0.083,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,9
M141751,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-06-16,10:15:00,0.07,0.0,409.99999999999994,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,16
M141746,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-06-23,09:50:00,0.06,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,23
M141742,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-07-02,10:10:00,0.11,17316.0,610.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,2
M141745,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-07-07,09:58:00,0.17,28978.0,9475.0,392.5,0.0,Composite,,,,,,,,streaks on the surface,2014,7,7
M141738,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-07-15,09:45:00,0.16,38197.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,15
M141735,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-07-22,09:55:00,0.22,17316.0,975.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,22
M141732,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-07-28,09:50:00,1.4,88108.0,300.0,0.0,0.0,Composite,Green layer of algae,,,,,,,,2014,7,28
M141727,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-08-05,09:50:00,0.14,112045.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,5
M141683,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-08-11,10:15:00,0.36,308124.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,11
M141687,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-08-19,09:55:00,1.61,570410.0,1782.5,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,19
M141690,Iosegun Lake,Iosegun Lake Beach,9620843.0,54.456471,-116.814607,2014-08-25,10:25:00,0.24,81487.0,372.5,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,25
M141412,Isle Lake,Gainford Beach,9602751.0,53.590493,-114.790092,2014-05-26,10:08:00,0.088,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,5,26
M141409,Isle Lake,Gainford Beach,9602751.0,53.590493,-114.790092,2014-06-02,10:05:00,0.127,39725.0,450.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,2
M141406,Isle Lake,Gainford Beach,9602751.0,53.590493,-114.790092,2014-06-09,09:45:00,0.452,15890.0,327.5,0.0,0.0,Composite,Globules of green suspended in water,,,,,,,streaks on the surface,2014,6,9
M141422,Isle Lake,Gainford Beach,9602751.0,53.590493,-114.790092,2014-06-16,10:00:00,0.73,243035.0,68.5,0.0,0.0,Composite,Suspected cyanobacteria,,,,,,,scums on surface,2014,6,16
M141402,Isle Lake,Gainford Beach,9602751.0,53.590493,-114.790092,2014-06-23,09:55:00,4.47,94117.0,3150.0,0.0,0.0,Composite,,,,,,,,scums on surface,2014,6,23
M141420,Isle Lake,Gainford Beach,9602751.0,53.590493,-114.790092,2014-06-30,09:30:00,3.83,59892.0,18625.0,0.0,0.0,Composite,Filamentous green suspended in the water,,,,,,,scums on surface,2014,6,30
M141475,Isle Lake,Gainford Beach,9602751.0,53.590493,-114.790092,2014-07-07,10:02:00,5.35,155844.0,5375.0,0.0,0.0,Composite,,,,,,,,scums on surface,2014,7,7
M141429,Isle Lake,Gainford Beach,9602751.0,53.590493,-114.790092,2014-07-14,10:05:00,3,109499.0,23700.0,0.0,0.0,Composite,,,,,,,,streaks on the surface,2014,7,14
