Sample number,Waterbody name,Beach name,Beach access number,Latitude,Longitude,Collection date,Collection time,Microcystin LR-equivalent concentration (µg/L),Total cyanobacterial cell count (cells/mL),Microcystis mcyE (copies/mL),Anabaena mcyE (copies/mL),Planktothrix mcyE (copies/mL),Sample Type,Description of water,Description of Water - Additional Notes,Turbidity,Colour,Evidence of bloom,Water temperature (°C),Wind direction,24 hr rainfall,24 hr rainfall amount (mm),
M141973,Baptiste Lake,Baptiste Lake Public Beach,8830387,54.726988,-113.568914,24-Jun-14,3:30 PM,No data,"532,110",No data,No data,No data,Grab,Distinct green or blue-green colouration or streaks on the surface,"Moderate breeze, mostly sunny, waves, light-green water, misting",No data,Green,No data,20.2,NE,TRUE,No data,
M141680,Beaver Lake,Young's Beach,9621938,54.753226,-111.925127,29-Jul-14,11:30 AM,0.52,"1,793,582",9.28E+01,5.25E+02,<50,Composite,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141971,Bonnie Lake,Bonnie Lake Campground Beach,9013424,54.146363,-111.881312,25-Jul-14,2:00 PM,0.07,0,3.80E+04,<50,<50,Composite,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141382,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,4-Jun-14,3:00 PM,<0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141386,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,11-Jun-14,1:30 PM,<0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141388,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,18-Jun-14,9:30 AM,0.07,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141376,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,25-Jun-14,10:00 AM,0.06,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141372,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,2-Jul-14,2:45 PM,0.07,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141362,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,9-Jul-14,7:20 AM,0.06,0,<50,<50,<50,Composite,No data,Brown scum across entire surface,No data,No data,No data,No data,No data,No data,No data,
M141366,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,16-Jul-14,7:15 AM,0.06,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141399,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,23-Jul-14,2:50 PM,0.06,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141396,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,30-Jul-14,1:30 PM,0.09,0,8.35E+01,<50,<50,Composite,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M141390,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,6-Aug-14,1:30 PM,0.09,"1,910",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141345,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,13-Aug-14,1:00 PM,0.09,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141358,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,20-Aug-14,12:30 PM,0.07,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141341,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,27-Aug-14,12:30 PM,0.11,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141349,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,4-Jun-14,10:30 AM,0.40,0,1.41E+02,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141338,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,11-Jun-14,8:45 AM,0.20,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141232,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,25-Jun-14,8:30 AM,0.18,0,2.44E+02,<50,<50,Composite,No data,High water level overtaken normal shore line - murky,No data,No data,No data,No data,No data,No data,No data,
M141220,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,2-Jul-14,11:45 AM,0.24,"2,801",1.76E+02,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,Water level still very high - overtaking shore,No data,No data,No data,No data,No data,No data,No data,
M141223,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,9-Jul-14,12:15 PM,1.35,"36,506",1.74E+03,<50,<50,Composite,Distinct green or blue-green colouration or streaks on the surface,Suspected blue-green algae,No data,No data,No data,No data,No data,No data,No data,
M141226,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,16-Jul-14,12:15 PM,15.84,"381,461",3.08E+06,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141218,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,23-Jul-14,11:45 AM,5.25,"117,844",5.75E+03,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141239,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,30-Jul-14,11:55 AM,1.51,"122,639",2.00E+03,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141235,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,6-Aug-14,1:00 PM,8.36,"41,915",3.53E+05,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141252,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,13-Aug-14,12:20 PM,6.47,"15,279",2.95E+04,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141245,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,20-Aug-14,11:45 AM,9.80,"272,830",1.20E+06,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141249,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,27-Aug-14,11:45 AM,8.29,"204,991",2.17E+04,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141577,Cold Lake,Moon Bay,No data,54.638056,-110.148389,25-Jul-14,10:35 AM,0.07,0,No data,No data,No data,Grab,Bottom of lake is clearly visible at 30 cm depth,Sample collected to investigate unknown orange substance,No data,No data,No data,No data,No data,No data,No data,
M141600,Crane (Moore) Lake,Crane Lake West M.D. Park,9011475,54.501141,-110.563529,25-Aug-14,12:35 PM,0.07,0,<50,<50,<50,Grab,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141380,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,4-Jun-14,10:45 AM,0.27,"18,589",1.47E+03,<50,<50,Composite,No data,Grey sandy/silty water,No data,No data,No data,No data,No data,No data,No data,
M141384,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,11-Jun-14,10:40 AM,0.35,"8,913",1.31E+02,<50,<50,Composite,No data,Milky white water,No data,No data,No data,No data,No data,No data,No data,
M141378,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,18-Jun-14,11:30 AM,0.23,"18,029",5.10E+02,<50,<50,Composite,No data,White water (sandy),No data,No data,No data,No data,No data,No data,No data,
M141374,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,25-Jun-14,12:15 PM,2.77,"443,595",1.23E+03,<50,<50,Composite,No data,Sandy brown water at 30 cm,No data,No data,No data,No data,No data,No data,No data,
M141371,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,2-Jul-14,11:45 AM,0.43,"185,128",2.60E+02,<50,<50,Composite,No data,Murky green/beige water,No data,No data,No data,No data,No data,No data,No data,
M141360,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,9-Jul-14,9:05 AM,0.33,"72,957",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141364,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,16-Jul-14,9:00 AM,0.25,"8,352",2.63E+02,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141397,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,23-Jul-14,11:10 AM,1.07,"36,567",7.23E+02,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141394,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,30-Jul-14,10:30 AM,3.12,"269,926",9.88E+02,<50,<50,Composite,No data,Blue-green algae present,No data,No data,No data,No data,No data,No data,No data,
M141359,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,6-Aug-14,9:30 AM,12.47,"66,514",1.40E+05,<50,<50,Composite,No data,Brown water,No data,No data,No data,No data,No data,No data,No data,
M141343,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,13-Aug-14,10:00 AM,3.87,"35,142",3.10E+03,<50,<50,Composite,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141356,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,20-Aug-14,10:30 AM,29.20,"213,624",4.35E+05,<50,<50,Composite,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141350,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,27-Aug-14,11:00 AM,3.80,"141,915",5.60E+03,<50,<50,Composite,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141013,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,26-May-14,12:30 PM,<0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141053,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,2-Jun-14,9:45 AM,0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141065,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,9-Jun-14,9:45 AM,0.05,"2,852",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141063,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,16-Jun-14,9:50 AM,0.07,"10,135",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141061,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,26-Jun-14,10:15 AM,0.07,0,<50,<50,<50,Composite,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M141060,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,2-Jul-14,10:00 AM,0.06,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141057,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,9-Jul-14,10:20 AM,0.07,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141055,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,14-Jul-14,10:20 AM,0.07,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141051,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,21-Jul-14,11:45 AM,0.08,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141049,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,28-Jul-14,10:45 AM,0.07,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,Clear but lots of suspended particles,No data,No data,No data,No data,No data,No data,No data,
M141047,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,5-Aug-14,10:45 AM,0.09,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141044,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,11-Aug-14,10:00 AM,0.09,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141011,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,18-Aug-14,10:00 AM,0.08,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141009,Enchant Municipal Lake,Enchant Municipal Park Beach,8825609,50.161765,-112.432874,25-Aug-14,10:00 AM,0.07,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141678,Figure Eight Lake,Figure Eight Beach West Beach,9280350,56.299745,-117.908299,5-Aug-14,2:30 PM,0.81,No data,No data,No data,No data,Composite,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141677,Figure Eight Lake,South Beach Fishing Area,No data,56.298860,-117.906633,5-Aug-14,2:00 PM,0.75,No data,No data,No data,No data,Composite,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141028,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,2-Jun-14,11:20 AM,<0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141030,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,9-Jun-14,11:50 AM,<0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141014,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,16-Jun-14,12:20 PM,0.05,"8,352",<50,<50,<50,Composite,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M141033,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,23-Jun-14,11:45 AM,0.06,0,<50,<50,<50,Composite,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M141024,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,3-Jul-14,12:01 PM,0.07,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141026,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,7-Jul-14,11:10 AM,0.06,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141037,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,14-Jul-14,12:10 PM,<0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No green particles in the water,No data,No data,No data,No data,No data,No data,No data,
M141017,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,21-Jul-14,12:22 PM,0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,The water is very clear and the bottom very visible,No data,No data,No data,No data,No data,No data,No data,
M141022,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,28-Jul-14,12:10 PM,0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,The water was clear and the bottom was very visible,No data,No data,No data,No data,No data,No data,No data,
M141021,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,5-Aug-14,No data,0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141019,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,11-Aug-14,11:52 AM,<0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,The bottom of the lake was very visible and the water clear,No data,No data,No data,No data,No data,No data,No data,
M141069,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,18-Aug-14,11:55 AM,0.06,"7,639",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,The water was very clear and the bottom of the lake was visible,No data,No data,No data,No data,No data,No data,No data,
M141068,Forty Mile Reservoir,Forty Mile Park Beach,8822599,49.672401,-111.425290,25-Aug-14,1:45 PM,0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141104,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,3-Jun-14,No data,0.10,No data,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,Light brown water,No data,No data,No data,No data,No data,No data,No data,
M141108,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,10-Jun-14,11:48 AM,0.11,"254,900",2.23E+02,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,Slightly murky due to windy conditions,No data,No data,No data,No data,No data,No data,No data,
M141112,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,17-Jun-14,11:45 AM,0.17,"158,135",3.50E+02,<50,<50,Composite,No data,"Cannot see bottom, windy conditions, soupy lake with mixture of sand & vegetation, dark brown water",No data,No data,No data,No data,No data,No data,No data,
M141116,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,24-Jun-14,11:35 AM,0.14,"154,928",3.98E+02,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Calm waters, water is bluish-grey, Natural vegetation along shoreline",No data,No data,No data,No data,No data,No data,No data,
M141120,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,2-Jul-14,11:55 AM,0.19,"399,897",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Windy but slightly murky water, greyish-brown but clear",No data,No data,No data,No data,No data,No data,No data,
M141124,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,8-Jul-14,10:40 AM,0.16,"562,108",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,Clear water,No data,No data,No data,No data,No data,No data,No data,
M141130,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,14-Jul-14,1:15 PM,0.20,"472,370",No data,No data,No data,Composite,No data,"Lake bottom not visible >30cm from shore, the water was turbulent and cloudy, brown water",No data,No data,No data,No data,No data,No data,No data,
M141128,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,15-Jul-14,11:40 AM,0.21,"483,831",1.63E+02,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141134,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,22-Jul-14,11:47 AM,0.17,"365,932",8.13E+01,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Clear, bluish-grey waters, some sediment in sample",No data,No data,No data,No data,No data,No data,No data,
M141138,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,29-Jul-14,12:10 PM,0.41,"194,933",No data,No data,No data,Composite,No data,"A lot of use, visibility is <10 cm but water is calm, light brown coloured water, no sign of blue-green algae",No data,No data,No data,No data,No data,No data,No data,
M141142,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,5-Aug-14,12:30 PM,0.18,"44,843",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Light brown water, slightly cloudy",No data,No data,No data,No data,No data,No data,No data,
M141554,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,12-Aug-14,11:07 AM,0.21,"150,395",2.42E+02,<50,<50,Composite,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141148,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,19-Aug-14,12:09 PM,0.22,"50,012",7.03E+01,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Cloudy water, precipitation last 24 hours and throughout the day",No data,No data,No data,No data,No data,No data,No data,
M141152,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,26-Aug-14,12:22 PM,0.15,"4,999",5.33E+01,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,Water is cloudy,No data,No data,No data,No data,No data,No data,No data,
M141103,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,3-Jun-14,12:38 PM,0.11,No data,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Lots of minnows, light brown water",No data,No data,No data,No data,No data,No data,No data,
M141107,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,10-Jun-14,10:36 AM,0.10,"32,850",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Clear water, grey and windy",No data,No data,No data,No data,No data,No data,No data,
M141111,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,17-Jun-14,10:30 AM,0.14,"83,524",3.43E+02,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Light brown water, breezy conditions",No data,No data,No data,No data,No data,No data,No data,
M141115,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,24-Jun-14,10:27 AM,0.19,"161,956",<50,<50,<50,Composite,No data,"Murky, cannot see bottom of lake due to windy conditions",No data,No data,No data,No data,No data,No data,No data,
M141119,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,2-Jul-14,10:55 AM,0.19,"451,797",<50,<50,<50,Composite,No data,"Can't see the bottom of the lake due to windy conditions, sediments and vegetation",No data,No data,No data,No data,No data,No data,No data,
M141123,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,8-Jul-14,10:35 AM,0.16,"200,355",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Light grey/brown water, some sediments",No data,No data,No data,No data,No data,No data,No data,
M141129,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,14-Jul-14,12:05 PM,0.19,"285,460",No data,No data,No data,Composite,No data,"Turbulent waters, bottom not visible >30cm from the shore, brown water, minor musty ""lake smell""",No data,No data,No data,No data,No data,No data,No data,
M141127,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,15-Jul-14,10:30 AM,0.16,"190,019",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141133,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,22-Jul-14,10:37 AM,0.15,"149,330",<50,<50,<50,Composite,No data,"Bottom of lake is somewhat visible <15 cm from shore, brown water, turbulent water and sediments from windy conditions",No data,No data,No data,No data,No data,No data,No data,
M141137,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,29-Jul-14,10:45 AM,0.14,"110,313",No data,No data,No data,Composite,Bottom of lake is clearly visible at 30 cm depth,clear and calm water,No data,No data,No data,No data,No data,No data,No data,
M141141,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,5-Aug-14,11:30 AM,0.14,"217,341",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Light brown water, clumps of weed along shore",No data,No data,No data,No data,No data,No data,No data,
M141548,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,12-Aug-14,12:10 PM,0.15,"175,681",<50,<50,<50,Composite,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141147,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,19-Aug-14,11:06 AM,0.12,"18,080",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Water is cloudy but clear along the shore, precipitation within last 24 hours and ongoing all day",No data,No data,No data,No data,No data,No data,No data,
M141151,Gull Lake,Parkland Beach,9720022,52.604426,-114.056411,26-Aug-14,11:17 AM,0.14,"11,349",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141434,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,26-May-14,No data,No data,"37,178",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M141431,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,2-Jun-14,1:25 PM,0.05,"9,065",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141476,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,7-Jul-14,1:05 PM,0.05,"25,210",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,"Significant number of feathers, parts (wings) of dead birds",No data,No data,No data,No data,No data,No data,No data,
M141952,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,7-Aug-14,12:54 PM,0.10,No data,<50,<50,<50,Composite,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M141974,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,13-Aug-14,No data,No data,"31,322",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M141530,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,25-Aug-14,1:08 PM,0.29,"356,252",4.53E+02,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141975,Hastings Lake,GPS for centre of lake provided,No data,53.417176,-112.908238,28-Jul-14,No data,No data,"151,516",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M141435,Hubbles Lake,Hubbles Lake Resort,9350169,53.564630,-114.093747,26-May-14,No data,No data,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
